user_id,first_order_day,most_used_city,count_cuisines,voucher_user,voucher_amount,member_get_member_viral,average_order_value,cnt_orders_7d_fwd,cnt_orders_14d_fwd,cnt_orders_30d_fwd,cnt_orders_60d_fwd,cnt_orders_90d_fwd,cnt_orders_6m_fwd
1643188,21/01/2016,London,1,0,,,31.32,1,1,1,1,1,1
294352,25/06/2015,London,1,0,,,19.14,1,1,1,1,1,1
1871462,06/02/2016,London,1,0,,,50.4,1,1,1,1,1,1
762142,17/10/2015,Manchester,3,0,,,36.42,1,1,2,2,3,4
4672674,28/06/2016,London,1,0,,,19.44,1,1,1,1,1,1
1330000,18/12/2015,Manchester,2,0,,,40.47,1,1,1,1,1,1
385488,25/07/2015,London,1,0,,,24.06,1,1,1,1,1,1
876368,31/10/2015,London,2,0,,,40.92,1,1,2,2,2,2
449154,15/08/2015,London,6,0,,,28.57224,1,1,1,2,4,9
2918684,16/07/2016,Manchester,1,0,,,18.54,1,1,1,1,1,1
3986592,29/05/2016,London,1,0,,,8.94,1,1,1,1,1,1
4532298,22/06/2016,London,1,0,,,19.5,1,1,1,1,1,1
324210,07/07/2015,London,1,0,,,63.87,2,2,2,2,2,2
1934756,10/02/2016,London,1,0,,,25.08,1,1,1,1,1,1
546122,08/09/2015,London,1,1,10,0,43.08,1,1,1,1,1,1
2325462,11/04/2016,Aberdeen,2,0,,,19.2,1,1,1,2,2,2
3179200,21/04/2016,London,1,1,2.5,0,24.24,1,1,1,1,1,1
286596,21/06/2015,London,6,0,,,30.54,1,1,2,2,2,3
4490494,20/06/2016,London,3,0,,,36.37992,3,3,3,3,3,3
2084232,20/02/2016,London,1,0,,,34.44,1,1,1,1,1,1
709970,10/10/2015,Manchester,1,0,,,26.88,1,1,1,1,1,1
1490540,06/01/2016,London,9,0,,,19.77996,2,2,3,5,11,20
612926,22/09/2015,London,2,0,,,73.99992,2,2,3,3,3,3
877304,31/10/2015,London,1,0,,,37.2,1,1,1,1,1,1
3421498,02/05/2016,London,1,0,,,18.3,1,1,1,1,1,1
1286258,19/12/2015,London,5,0,,,18.33264,2,5,6,11,11,11
583694,16/09/2015,London,1,1,10,0,7.14,1,1,1,1,1,1
3932318,27/05/2016,Aberdeen,1,0,,,35.82,1,1,1,1,1,1
2674228,24/03/2016,London,1,0,,,37.45992,1,1,2,2,3,3
2565806,18/03/2016,London,2,0,,,53.1,1,1,1,2,2,2
